num_features,features,accuracy,time_taken,epochs
9,"['DMP_14', 'rsi_21_hl2', 'bbp', 'rsi_6_hlc3', 'rsi_14_hlc3', 'CCI_14_0.015', 'J', 'BBP_20_2.0', 'rsi_6_hl2']",0.7,3.7956719398498535,107
39,"['zscore_9', 'rsi_6_close', 'rsi_30_ohlc4', 'cdl_doji', 'rolling_std_30', 'bbp', 'zscore_3', 'bop', 'rsi_6_hl2', 'zscore_21', 'zscore_30', 'rsi_21_hl2', 'momentum_3', 'zscore_5', 'dec', 'zscore_2', 'rsi_14_ohlc4', 'DMN_14', 'rsi_6_ohlc4', 'rsi_21_hlc3', 'rsi_21_ohlc4', 'rsi_30_hl2', 'inc', 'close_return_3', 'close_return_1', 'zscore_14', 'CCI_14_0.015', 'J', 'rsi_14_hl2', 'momentum_2', 'willr', 'ADX_14', 'DMP_14', 'momentum_1', 'rsi_6_hlc3', 'rsi_14_hlc3', 'zscore_7', 'rsi_50_ohlc4', 'BBP_20_2.0']",0.8666666666666667,2.3116042613983154,119
45,"['zscore_9', 'CMO_14', 'rsi_6_close', 'rsi_30_ohlc4', 'cdl_doji', 'bbp', 'rolling_std_30', 'close_return_5', 'zscore_3', 'bop', 'rsi_6_hl2', 'zscore_21', 'rsi_14_close', 'zscore_30', 'momentum_3', 'rsi_21_hl2', 'zscore_5', 'dec', 'zscore_2', 'rsi_14_ohlc4', 'DMN_14', 'rsi_6_ohlc4', 'rsi_21_hlc3', 'rsi_21_ohlc4', 'rsi_30_hl2', 'close_return_2', 'inc', 'close_return_3', 'close_return_1', 'zscore_14', 'CCI_14_0.015', 'J', 'rsi_14_hl2', 'pvr', 'momentum_2', 'willr', 'ADX_14', 'rsi_50_hl2', 'DMP_14', 'momentum_1', 'rsi_6_hlc3', 'rsi_14_hlc3', 'zscore_7', 'rsi_50_ohlc4', 'BBP_20_2.0']",0.8166666666666667,47.29419946670532,157
59,"['zscore_9', 'CMO_14', 'rsi_6_close', 'rsi_30_ohlc4', 'cdl_doji', 'bbp', 'rolling_std_30', 'STOCHRSIk_14_14_3_3', 'K', 'close_return_14', 'momentum_9', 'close_return_9', 'close_return_5', 'zscore_3', 'momentum_14', 'bop', 'rsi_6_hl2', 'rolling_std_9', 'zscore_21', 'rsi_14_close', 'zscore_30', 'momentum_3', 'rsi_21_hl2', 'zscore_5', 'dec', 'zscore_2', 'momentum_21', 'rsi_14_ohlc4', 'ttm_trend', 'DMN_14', 'rsi_6_ohlc4', 'rsi_21_hlc3', 'rsi_21_ohlc4', 'rsi_30_hl2', 'close_return_2', 'inc', 'close_return_3', 'close_return_1', 'zscore_14', 'CCI_14_0.015', 'J', 'rsi_14_hl2', 'pvr', 'momentum_2', 'willr', 'momentum_5', 'ADX_14', 'rsi_50_hl2', 'close_return_7', 'momentum_7', 'DMP_14', 'momentum_1', 'rsi_30_hlc3', 'rsi_6_hlc3', 'rsi_14_hlc3', 'zscore_7', 'MACDh_12_26_9', 'rsi_50_ohlc4', 'BBP_20_2.0']",0.8333333333333334,34.92093515396118,104
100,"['rsi_6_close', 'momentum_9', 'zscore_3', 'momentum_14', 'zscore_21', 'volume_change_7', 'volume', 'volume_change_14', 'volume_change_30', 'body', 'ema_200_hl2', 'rsi_21_ohlc4', 'D', 'inc', 'TRIXs_30_9', 'momentum_2', 'rsi_30_hlc3', 'volume_change_1', 'rsi_50_ohlc4', 'volume_change_50', 'MACD_12_26_9', 'K', 'bbp', 'STOCHRSIk_14_14_3_3', 'sma_10_hl2', 'close_return_5', 'ROC_10', 'rsi_14_close', 'zscore_30', 'sma_50_hl2', 'zscore_2', 'momentum_21', 'rsi_14_ohlc4', 'close_return_21', 'close_return_2', 'zscore_14', 'rolling_std_2', 'volume_change_100', 'CCI_14_0.015', 'rsi_14_hl2', 'pvr', 'willr', 'momentum_5', 'ADX_14', 'momentum_1', 'range_ratio', 'rolling_std_14', 'MACDh_12_26_9', 'rolling_std_3', 'BBP_20_2.0', 'zscore_9', 'MACDs_12_26_9', 'UO_7_14_28', 'close_return_14', 'bop', 'rolling_std_7', 'rsi_6_hl2', 'BBL_20_2.0', 'dec', 'sma_100_hlc3', 'ttm_trend', 'DMN_14', 'close_return_3', 'rsi_50_hl2', 'DMP_14', 'rsi_14_hlc3', 'zscore_7', 'volume_change_2', 'CMO_14', 'rsi_30_ohlc4', 'cdl_doji', 'rolling_std_30', 'sma_200_hlc3', 'volume_change_9', 'rolling_std_9', 'volume_change_5', 'sma_100_close', 'momentum_3', 'rsi_21_hl2', 'zscore_5', 'rolling_mean_100', 'rolling_std_5', 'sma_200_hl2', 'sma_50_hlc3', 'close_return_50', 'rsi_6_ohlc4', 'rsi_21_hlc3', 'rsi_30_hl2', 'volume_change_3', 'momentum_50', 'close_return_1', 'rsi_50_hlc3', 'J', 'price_range', 'close_return_7', 'momentum_7', 'rsi_6_hlc3', 'volume_change_21', 'close_return_9', 'sma_100_hl2']",0.8166666666666667,26.1102352142334,81
170,"['open', 'high', 'low', 'close', 'volume', 'hl2', 'hlc3', 'ohlc4', 'ema_10_close', 'sma_10_close', 'ema_20_close', 'sma_20_close', 'ema_50_close', 'sma_50_close', 'ema_100_close', 'sma_100_close', 'ema_200_close', 'sma_200_close', 'ema_10_hl2', 'sma_10_hl2', 'ema_20_hl2', 'sma_20_hl2', 'ema_50_hl2', 'sma_50_hl2', 'ema_100_hl2', 'sma_100_hl2', 'ema_200_hl2', 'sma_200_hl2', 'ema_10_hlc3', 'sma_10_hlc3', 'ema_20_hlc3', 'sma_20_hlc3', 'ema_50_hlc3', 'sma_50_hlc3', 'ema_100_hlc3', 'sma_100_hlc3', 'ema_200_hlc3', 'sma_200_hlc3', 'ema_10_ohlc4', 'sma_10_ohlc4', 'ema_20_ohlc4', 'sma_20_ohlc4', 'ema_50_ohlc4', 'sma_50_ohlc4', 'ema_100_ohlc4', 'sma_100_ohlc4', 'ema_200_ohlc4', 'sma_200_ohlc4', 'BBL_20_2.0', 'BBM_20_2.0', 'BBU_20_2.0', 'BBB_20_2.0', 'BBP_20_2.0', 'corr_close_volume', 'bbp', 'rsi_6_close', 'rsi_14_close', 'rsi_21_close', 'rsi_30_close', 'rsi_50_close', 'rsi_6_hl2', 'rsi_14_hl2', 'rsi_21_hl2', 'rsi_30_hl2', 'rsi_50_hl2', 'rsi_6_hlc3', 'rsi_14_hlc3', 'rsi_21_hlc3', 'rsi_30_hlc3', 'rsi_50_hlc3', 'rsi_6_ohlc4', 'rsi_14_ohlc4', 'rsi_21_ohlc4', 'rsi_30_ohlc4', 'rsi_50_ohlc4', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'STOCHRSIk_14_14_3_3', 'STOCHRSId_14_14_3_3', 'willr', 'K', 'D', 'J', 'bop', 'close_return_1', 'volume_change_1', 'momentum_1', 'rolling_mean_1', 'close_return_2', 'volume_change_2', 'momentum_2', 'rolling_mean_2', 'rolling_std_2', 'zscore_2', 'close_return_3', 'volume_change_3', 'momentum_3', 'rolling_mean_3', 'rolling_std_3', 'zscore_3', 'close_return_5', 'volume_change_5', 'momentum_5', 'rolling_mean_5', 'rolling_std_5', 'zscore_5', 'close_return_7', 'volume_change_7', 'momentum_7', 'rolling_mean_7', 'rolling_std_7', 'zscore_7', 'close_return_9', 'volume_change_9', 'momentum_9', 'rolling_mean_9', 'rolling_std_9', 'zscore_9', 'close_return_14', 'volume_change_14', 'momentum_14', 'rolling_mean_14', 'rolling_std_14', 'zscore_14', 'close_return_21', 'volume_change_21', 'momentum_21', 'rolling_mean_21', 'rolling_std_21', 'zscore_21', 'close_return_30', 'volume_change_30', 'momentum_30', 'rolling_mean_30', 'rolling_std_30', 'zscore_30', 'close_return_50', 'volume_change_50', 'momentum_50', 'rolling_mean_50', 'rolling_std_50', 'zscore_50', 'close_return_100', 'volume_change_100', 'momentum_100', 'rolling_mean_100', 'rolling_std_100', 'zscore_100', 'obv', 'pvr', 'aobv', 'ttm_trend', 'ADX_14', 'DMP_14', 'DMN_14', 'CCI_14_0.015', 'CMO_14', 'MFI_14', 'ROC_10', 'TRIX_30_9', 'TRIXs_30_9', 'UO_7_14_28', 'WMA_10', 'inc', 'dec', 'cdl_doji', 'price_range', 'body', 'range_ratio']",0.8166666666666667,70.50894927978516,100
